size,block_size,seed,cmc_estimate,ginibre_estimate
4900,4900,220028,3.156734693877551,3.137142857142857
4900,70,220028,3.186122448979592,3.0987755102040815
4900,2,220028,3.125714285714286,2.449795918367347
4900,4900,350521,3.1885714285714286,3.1314285714285712
4900,70,350521,3.1379591836734693,3.082448979591837
4900,2,350521,3.1583673469387756,2.4538775510204083
4900,4900,846848,3.1444897959183673,3.1412244897959183
4900,70,846848,3.1485714285714286,3.076734693877551
4900,2,846848,3.1844897959183673,2.4881632653061225
4900,4900,262583,3.173877551020408,3.142857142857143
4900,70,262583,3.1379591836734693,3.097142857142857
4900,2,262583,3.142857142857143,2.463673469387755
4900,4900,642104,3.1395918367346938,3.149387755102041
4900,70,642104,3.166530612244898,3.0995918367346937
4900,2,642104,3.146122448979592,2.4236734693877553
4900,4900,7980,3.1379591836734693,3.142857142857143
4900,70,7980,3.1453061224489796,3.0873469387755104
4900,2,7980,3.173877551020408,2.436734693877551
4900,4900,148549,3.162448979591837,3.1346938775510202
4900,70,148549,3.1787755102040816,3.0987755102040815
4900,2,148549,3.1322448979591835,2.4546938775510205
4900,4900,746306,3.1518367346938776,3.146938775510204
4900,70,746306,3.1648979591836737,3.0644897959183672
4900,2,746306,3.1044897959183673,2.4236734693877553
4900,4900,347240,3.1608163265306124,3.1363265306122448
4900,70,347240,3.109387755102041,3.066938775510204
4900,2,347240,3.110204081632653,2.406530612244898
4900,4900,908768,3.1453061224489796,3.1387755102040815
4900,70,908768,3.1746938775510203,3.0995918367346937
4900,2,908768,3.1240816326530614,2.416326530612245
4900,4900,563199,3.1110204081632653,3.1355102040816325
4900,70,563199,3.1583673469387756,3.0661224489795917
4900,2,563199,3.1330612244897957,2.4661224489795917
4900,4900,771156,3.1689795918367345,3.1379591836734693
4900,70,771156,3.1183673469387756,3.061224489795918
4900,2,771156,3.1444897959183673,2.477551020408163
4900,4900,900753,3.153469387755102,3.146122448979592
4900,70,900753,3.140408163265306,3.082448979591837
4900,2,900753,3.173877551020408,2.3926530612244896
4900,4900,596394,3.159183673469388,3.1379591836734693
4900,70,596394,3.137142857142857,3.0595918367346937
4900,2,596394,3.1714285714285713,2.4187755102040818
4900,4900,802291,3.1379591836734693,3.1395918367346938
4900,70,802291,3.133877551020408,3.0718367346938775
4900,2,802291,3.1387755102040815,2.471020408163265
4900,4900,16750,3.1208163265306124,3.1387755102040815
4900,70,16750,3.1175510204081633,3.086530612244898
4900,2,16750,3.1314285714285712,2.4457142857142857
4900,4900,365335,3.1142857142857143,3.1420408163265305
4900,70,365335,3.165714285714286,3.043265306122449
4900,2,365335,3.133877551020408,2.413061224489796
4900,4900,875973,3.1477551020408163,3.130612244897959
4900,70,875973,3.1151020408163266,3.0563265306122447
4900,2,875973,3.1322448979591835,2.413061224489796
4900,4900,373263,3.137142857142857,3.1273469387755104
4900,70,373263,3.1387755102040815,3.085714285714286
4900,2,373263,3.115918367346939,2.4416326530612245
4900,4900,761919,3.1542857142857144,3.1355102040816325
4900,70,761919,3.1322448979591835,3.07265306122449
4900,2,761919,3.1281632653061227,2.42530612244898
4900,4900,294063,3.130612244897959,3.1379591836734693
4900,70,294063,3.1346938775510202,3.0628571428571427
4900,2,294063,3.182857142857143,2.4489795918367347
4900,4900,193491,3.1363265306122448,3.140408163265306
4900,70,193491,3.166530612244898,3.0710204081632653
4900,2,193491,3.12,2.467755102040816
4900,4900,151889,3.09469387755102,3.137142857142857
4900,70,151889,3.126530612244898,3.0661224489795917
4900,2,151889,3.210612244897959,2.4261224489795916
4900,4900,143028,3.1330612244897957,3.1314285714285712
4900,70,143028,3.1110204081632653,3.063673469387755
4900,2,143028,3.1510204081632653,2.4791836734693877
4900,4900,100090,3.123265306122449,3.1363265306122448
4900,70,100090,3.146122448979592,3.0840816326530613
4900,2,100090,3.110204081632653,2.4114285714285715
4900,4900,804682,3.12,3.1363265306122448
4900,70,804682,3.130612244897959,3.055510204081633
4900,2,804682,3.140408163265306,2.498775510204082
4900,4900,210567,3.1485714285714286,3.1412244897959183
4900,70,210567,3.1363265306122448,3.07265306122449
4900,2,210567,3.180408163265306,2.443265306122449
4900,4900,885246,3.16734693877551,3.1453061224489796
4900,70,885246,3.0906122448979594,3.0808163265306123
4900,2,885246,3.128979591836735,2.433469387755102
4900,4900,837737,3.153469387755102,3.1420408163265305
4900,70,837737,3.133877551020408,3.0563265306122447
4900,2,837737,3.130612244897959,2.4579591836734695
4900,4900,373478,3.2008163265306124,3.137142857142857
4900,70,373478,3.1420408163265305,3.0906122448979594
4900,2,373478,3.1322448979591835,2.4057142857142857
4900,4900,76161,3.123265306122449,3.1297959183673467
4900,70,76161,3.1395918367346938,3.0693877551020408
4900,2,76161,3.1314285714285712,2.400816326530612
4900,4900,523727,3.113469387755102,3.1330612244897957
4900,70,523727,3.1379591836734693,3.0718367346938775
4900,2,523727,3.1812244897959183,2.4506122448979593
4900,4900,973864,3.177142857142857,3.142857142857143
4900,70,973864,3.1395918367346938,3.088979591836735
4900,2,973864,3.125714285714286,2.4506122448979593
4900,4900,678490,3.149387755102041,3.133877551020408
4900,70,678490,3.155918367346939,3.0783673469387756
4900,2,678490,3.1216326530612246,2.476734693877551
4900,4900,449043,3.088979591836735,3.1355102040816325
4900,70,449043,3.15265306122449,3.106938775510204
4900,2,449043,3.1387755102040815,2.456326530612245
4900,4900,682988,3.110204081632653,3.146122448979592
4900,70,682988,3.1142857142857143,3.073469387755102
4900,2,682988,3.11265306122449,2.444081632653061
4900,4900,26008,3.1175510204081633,3.1412244897959183
4900,70,26008,3.165714285714286,3.106938775510204
4900,2,26008,3.126530612244898,2.4424489795918367
4900,4900,324847,3.1755102040816325,3.1355102040816325
4900,70,324847,3.1477551020408163,3.070204081632653
4900,2,324847,3.180408163265306,2.4808163265306122
4900,4900,627504,3.155918367346939,3.1322448979591835
4900,70,627504,3.156734693877551,3.082448979591837
4900,2,627504,3.1379591836734693,2.4538775510204083
4900,4900,613248,3.142857142857143,3.1379591836734693
4900,70,613248,3.1387755102040815,3.0873469387755104
4900,2,613248,3.1110204081632653,2.4726530612244897
4900,4900,219050,3.1061224489795918,3.1387755102040815
4900,70,219050,3.1330612244897957,3.0906122448979594
4900,2,219050,3.1273469387755104,2.462857142857143
4900,4900,278081,3.1379591836734693,3.1346938775510202
4900,70,278081,3.1216326530612246,3.0506122448979593
4900,2,278081,3.1322448979591835,2.459591836734694
4900,4900,230942,3.1020408163265305,3.1444897959183673
4900,70,230942,3.100408163265306,3.0979591836734692
4900,2,230942,3.1510204081632653,2.4351020408163264
4900,4900,726954,3.119183673469388,3.143673469387755
4900,70,726954,3.1714285714285713,3.07265306122449
4900,2,726954,3.143673469387755,2.4293877551020406
4900,4900,215758,3.1648979591836737,3.142857142857143
4900,70,215758,3.1453061224489796,3.0914285714285716
4900,2,215758,3.123265306122449,2.416326530612245
4900,4900,41324,3.1420408163265305,3.1346938775510202
4900,70,41324,3.146938775510204,3.0718367346938775
4900,2,41324,3.1444897959183673,2.4416326530612245
4900,4900,282883,3.1379591836734693,3.137142857142857
4900,70,282883,3.1444897959183673,3.0873469387755104
4900,2,282883,3.1240816326530614,2.4914285714285715
4900,4900,457606,3.1681632653061222,3.140408163265306
4900,70,457606,3.1297959183673467,3.0628571428571427
4900,2,457606,3.1444897959183673,2.4571428571428573
4900,4900,159996,3.140408163265306,3.1387755102040815
4900,70,159996,3.1444897959183673,3.0661224489795917
4900,2,159996,3.130612244897959,2.419591836734694
4900,4900,914256,3.103673469387755,3.128979591836735
4900,70,914256,3.115918367346939,3.079183673469388
4900,2,914256,3.1379591836734693,2.4318367346938774
4900,4900,646225,3.0963265306122447,3.142857142857143
4900,70,646225,3.1518367346938776,3.0873469387755104
4900,2,646225,3.153469387755102,2.426938775510204
4900,4900,263068,3.163265306122449,3.137142857142857
4900,70,263068,3.0873469387755104,3.070204081632653
4900,2,263068,3.123265306122449,2.4808163265306122
4900,4900,80214,3.15265306122449,3.1551020408163266
4900,70,80214,3.122448979591837,3.0628571428571427
4900,2,80214,3.1477551020408163,2.458775510204082
4900,4900,550517,3.1183673469387756,3.1322448979591835
4900,70,550517,3.140408163265306,3.0620408163265305
4900,2,550517,3.1208163265306124,2.4571428571428573
4900,4900,341120,3.1346938775510202,3.1420408163265305
4900,70,341120,3.1281632653061227,3.09469387755102
4900,2,341120,3.130612244897959,2.4653061224489794
4900,4900,378819,3.162448979591837,3.1485714285714286
4900,70,378819,3.128979591836735,3.083265306122449
4900,2,378819,3.122448979591837,2.419591836734694
4900,4900,513662,3.1297959183673467,3.140408163265306
4900,70,513662,3.1387755102040815,3.07265306122449
4900,2,513662,3.1608163265306124,2.470204081632653
4900,4900,966044,3.155918367346939,3.1363265306122448
4900,70,966044,3.1330612244897957,3.0873469387755104
4900,2,966044,3.1820408163265306,2.4457142857142857
4900,4900,382144,3.130612244897959,3.1297959183673467
4900,70,382144,3.115918367346939,3.089795918367347
4900,2,382144,3.1379591836734693,2.462040816326531
4900,4900,766196,3.1355102040816325,3.1322448979591835
4900,70,766196,3.150204081632653,3.0840816326530613
4900,2,766196,3.159183673469388,2.434285714285714
4900,4900,81623,3.1551020408163266,3.1363265306122448
4900,70,81623,3.146938775510204,3.0751020408163265
4900,2,81623,3.146122448979592,2.4783673469387755
4900,4900,941577,3.1420408163265305,3.1395918367346938
4900,70,941577,3.1681632653061222,3.08
4900,2,941577,3.1412244897959183,2.474285714285714
