size,block_size,seed,cmc_estimate,ginibre_estimate
2500,2500,623535,3.1696,3.1296
2500,50,623535,3.1296,3.0448
2500,2,623535,3.1568,2.4448
2500,2500,800702,3.1248,3.1376
2500,50,800702,3.1552,3.0656
2500,2,800702,3.1232,2.4352
2500,2500,8126,3.1904,3.1392
2500,50,8126,3.12,3.04
2500,2,8126,3.1152,2.416
2500,2500,584045,3.2048,3.1408
2500,50,584045,3.1456,3.0784
2500,2,584045,3.1344,2.4832
2500,2500,815355,3.0448,3.1392
2500,50,815355,3.176,3.048
2500,2,815355,3.1296,2.4544
2500,2500,557803,3.1872,3.1312
2500,50,557803,3.1152,3.0656
2500,2,557803,3.1328,2.504
2500,2500,413298,3.184,3.1312
2500,50,413298,3.088,3.056
2500,2,413298,3.136,2.4544
2500,2500,454159,3.184,3.1408
2500,50,454159,3.1104,3.0432
2500,2,454159,3.1584,2.5072
2500,2500,385370,3.1456,3.1264
2500,50,385370,3.1088,3.0944
2500,2,385370,3.1328,2.48
2500,2500,721253,3.1936,3.1248
2500,50,721253,3.1296,3.032
2500,2,721253,3.1424,2.3968
2500,2500,907417,3.1392,3.1376
2500,50,907417,3.056,3.024
2500,2,907417,3.12,2.4496
2500,2500,386818,3.1536,3.136
2500,50,386818,3.1376,3.072
2500,2,386818,3.1488,2.4608
2500,2500,948008,3.1488,3.144
2500,50,948008,3.1472,3.0864
2500,2,948008,3.0848,2.4544
2500,2500,11471,3.1744,3.136
2500,50,11471,3.112,3.056
2500,2,11471,3.1712,2.4992
2500,2500,432306,3.2032,3.1456
2500,50,432306,3.088,3.0784
2500,2,432306,3.1136,2.424
2500,2500,488827,3.1424,3.128
2500,50,488827,3.1712,3.0496
2500,2,488827,3.1488,2.4448
2500,2500,409672,3.144,3.1376
2500,50,409672,3.184,3.0832
2500,2,409672,3.1056,2.44
2500,2500,388476,3.1312,3.1296
2500,50,388476,3.1712,3.0384
2500,2,388476,3.1296,2.3888
2500,2500,509346,3.1376,3.1408
2500,50,509346,3.1424,3.064
2500,2,509346,3.1104,2.4832
2500,2500,108915,3.1984,3.1328
2500,50,108915,3.168,3.104
2500,2,108915,3.1328,2.4336
2500,2500,456388,3.1072,3.1328
2500,50,456388,3.1264,3.0656
