run,seed,estimate,error
0,5000,3.1600000000,0.0184073464
1,5001,3.1120000000,0.0295926536
2,5002,3.1360000000,0.0055926536
3,5003,3.1440000000,0.0024073464
4,5004,3.0880000000,0.0535926536
5,5005,3.1440000000,0.0024073464
6,5006,3.1600000000,0.0184073464
7,5007,3.1440000000,0.0024073464
8,5008,3.1040000000,0.0375926536
9,5009,3.1360000000,0.0055926536
10,5010,3.1360000000,0.0055926536
11,5011,3.1200000000,0.0215926536
12,5012,3.1600000000,0.0184073464
13,5013,3.0880000000,0.0535926536
14,5014,3.1440000000,0.0024073464
15,5015,3.1040000000,0.0375926536
16,5016,3.0800000000,0.0615926536
17,5017,3.1040000000,0.0375926536
18,5018,3.1760000000,0.0344073464
19,5019,3.1680000000,0.0264073464
20,5020,3.1120000000,0.0295926536
21,5021,3.1440000000,0.0024073464
22,5022,3.1520000000,0.0104073464
23,5023,3.1520000000,0.0104073464
24,5024,3.1280000000,0.0135926536
25,5025,3.1200000000,0.0215926536
26,5026,3.1040000000,0.0375926536
27,5027,3.1280000000,0.0135926536
28,5028,3.1280000000,0.0135926536
29,5029,3.1360000000,0.0055926536
30,5030,3.1360000000,0.0055926536
31,5031,3.1360000000,0.0055926536
32,5032,3.1440000000,0.0024073464
33,5033,3.1280000000,0.0135926536
34,5034,3.0960000000,0.0455926536
35,5035,3.1360000000,0.0055926536
36,5036,3.1040000000,0.0375926536
37,5037,3.1600000000,0.0184073464
38,5038,3.1600000000,0.0184073464
39,5039,3.1360000000,0.0055926536
40,5040,3.1280000000,0.0135926536
41,5041,3.1440000000,0.0024073464
42,5042,3.1360000000,0.0055926536
43,5043,3.1360000000,0.0055926536
44,5044,3.1280000000,0.0135926536
45,5045,3.1680000000,0.0264073464
46,5046,3.1280000000,0.0135926536
47,5047,3.1280000000,0.0135926536
48,5048,3.1760000000,0.0344073464
49,5049,3.0960000000,0.0455926536
50,5050,3.1280000000,0.0135926536
51,5051,3.1120000000,0.0295926536
52,5052,3.0880000000,0.0535926536
53,5053,3.1120000000,0.0295926536
54,5054,3.0960000000,0.0455926536
55,5055,3.1360000000,0.0055926536
56,5056,3.1280000000,0.0135926536
57,5057,3.0960000000,0.0455926536
58,5058,3.1120000000,0.0295926536
59,5059,3.1520000000,0.0104073464
60,5060,3.1280000000,0.0135926536
61,5061,3.1280000000,0.0135926536
62,5062,3.1200000000,0.0215926536
63,5063,3.1360000000,0.0055926536
64,5064,3.0960000000,0.0455926536
65,5065,3.1040000000,0.0375926536
66,5066,3.1120000000,0.0295926536
67,5067,3.1440000000,0.0024073464
68,5068,3.1520000000,0.0104073464
69,5069,3.1520000000,0.0104073464
70,5070,3.1280000000,0.0135926536
71,5071,3.1040000000,0.0375926536
72,5072,3.1280000000,0.0135926536
73,5073,3.0800000000,0.0615926536
74,5074,3.1200000000,0.0215926536
75,5075,3.1680000000,0.0264073464
76,5076,3.0640000000,0.0775926536
77,5077,3.1440000000,0.0024073464
78,5078,3.1280000000,0.0135926536
79,5079,3.1360000000,0.0055926536
80,5080,3.1600000000,0.0184073464
81,5081,3.1520000000,0.0104073464
82,5082,3.1200000000,0.0215926536
83,5083,3.1360000000,0.0055926536
84,5084,3.1040000000,0.0375926536
85,5085,3.1360000000,0.0055926536
86,5086,3.1120000000,0.0295926536
87,5087,3.1440000000,0.0024073464
88,5088,3.1200000000,0.0215926536
89,5089,3.1280000000,0.0135926536
90,5090,3.0880000000,0.0535926536
91,5091,3.1200000000,0.0215926536
92,5092,3.1440000000,0.0024073464
93,5093,3.0800000000,0.0615926536
94,5094,3.1600000000,0.0184073464
95,5095,3.0800000000,0.0615926536
96,5096,3.1360000000,0.0055926536
97,5097,3.1200000000,0.0215926536
98,5098,3.1520000000,0.0104073464
99,5099,3.1200000000,0.0215926536
100,5100,3.1440000000,0.0024073464
101,5101,3.1040000000,0.0375926536
102,5102,3.1360000000,0.0055926536
103,5103,3.1600000000,0.0184073464
104,5104,3.1600000000,0.0184073464
105,5105,3.1680000000,0.0264073464
106,5106,3.1440000000,0.0024073464
107,5107,3.1360000000,0.0055926536
108,5108,3.1680000000,0.0264073464
109,5109,3.1520000000,0.0104073464
110,5110,3.1520000000,0.0104073464
111,5111,3.1520000000,0.0104073464
112,5112,3.1440000000,0.0024073464
113,5113,3.1520000000,0.0104073464
114,5114,3.0960000000,0.0455926536
115,5115,3.1040000000,0.0375926536
116,5116,3.1280000000,0.0135926536
117,5117,3.1600000000,0.0184073464
118,5118,3.1600000000,0.0184073464
119,5119,3.0720000000,0.0695926536
120,5120,3.1680000000,0.0264073464
121,5121,3.1120000000,0.0295926536
122,5122,3.1200000000,0.0215926536
123,5123,3.1200000000,0.0215926536
124,5124,3.1120000000,0.0295926536
125,5125,3.1200000000,0.0215926536
126,5126,3.0640000000,0.0775926536
127,5127,3.1600000000,0.0184073464
128,5128,3.1120000000,0.0295926536
129,5129,3.1200000000,0.0215926536
130,5130,3.0720000000,0.0695926536
131,5131,3.0800000000,0.0615926536
132,5132,3.1280000000,0.0135926536
133,5133,3.1440000000,0.0024073464
134,5134,3.0960000000,0.0455926536
135,5135,3.1280000000,0.0135926536
136,5136,3.0960000000,0.0455926536
137,5137,3.1040000000,0.0375926536
138,5138,3.0720000000,0.0695926536
139,5139,3.1440000000,0.0024073464
140,5140,3.1440000000,0.0024073464
141,5141,3.1200000000,0.0215926536
142,5142,3.1200000000,0.0215926536
143,5143,3.1040000000,0.0375926536
144,5144,3.1200000000,0.0215926536
145,5145,3.1120000000,0.0295926536
146,5146,3.1040000000,0.0375926536
147,5147,3.1120000000,0.0295926536
148,5148,3.1680000000,0.0264073464
149,5149,3.1280000000,0.0135926536
150,5150,3.0960000000,0.0455926536
151,5151,3.1280000000,0.0135926536
152,5152,3.1840000000,0.0424073464
153,5153,3.1360000000,0.0055926536
154,5154,3.1440000000,0.0024073464
155,5155,3.1200000000,0.0215926536
156,5156,3.1600000000,0.0184073464
157,5157,3.0960000000,0.0455926536
158,5158,3.1600000000,0.0184073464
159,5159,3.1200000000,0.0215926536
160,5160,3.1280000000,0.0135926536
161,5161,3.1200000000,0.0215926536
162,5162,3.0880000000,0.0535926536
163,5163,3.1120000000,0.0295926536
164,5164,3.1120000000,0.0295926536
165,5165,3.1280000000,0.0135926536
166,5166,3.1280000000,0.0135926536
167,5167,3.0880000000,0.0535926536
168,5168,3.1600000000,0.0184073464
169,5169,3.1520000000,0.0104073464
170,5170,3.0960000000,0.0455926536
171,5171,3.1600000000,0.0184073464
172,5172,3.1440000000,0.0024073464
173,5173,3.1280000000,0.0135926536
174,5174,3.1360000000,0.0055926536
175,5175,3.0880000000,0.0535926536
176,5176,3.1120000000,0.0295926536
177,5177,3.1520000000,0.0104073464
178,5178,3.0880000000,0.0535926536
179,5179,3.1360000000,0.0055926536
180,5180,3.1120000000,0.0295926536
181,5181,3.1600000000,0.0184073464
182,5182,3.1200000000,0.0215926536
183,5183,3.1360000000,0.0055926536
184,5184,3.1200000000,0.0215926536
185,5185,3.1680000000,0.0264073464
186,5186,3.0800000000,0.0615926536
187,5187,3.1120000000,0.0295926536
188,5188,3.1440000000,0.0024073464
189,5189,3.1440000000,0.0024073464
190,5190,3.1280000000,0.0135926536
191,5191,3.1200000000,0.0215926536
192,5192,3.1440000000,0.0024073464
193,5193,3.1360000000,0.0055926536
194,5194,3.1360000000,0.0055926536
195,5195,3.1760000000,0.0344073464
196,5196,3.1600000000,0.0184073464
197,5197,3.1520000000,0.0104073464
198,5198,3.0960000000,0.0455926536
199,5199,3.1360000000,0.0055926536
